"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,2,2,2,2,2
2. You make friends easily.,2,2,2,2,2,2
3. You have a vivid imagination.,3,1,2,2,3,2
4. You trust others.,4,2,2,1,2,1
5. You complete tasks successfully.,5,3,3,3,3,3
6. You get angry easily.,6,2,4,4,4,4
7. You love large parties.,7,3,2,2,4,2
8. You believe in the importance of art.,8,1,1,1,2,1
9. You use others for your own ends.,9,4,4,5,5,4
10. You like to tidy up.,10,2,2,1,2,2
11. You often feel blue.,11,2,2,1,2,2
12. You take charge.,12,5,5,4,5,4
13. You experience your emotions intensely.,13,2,2,2,2,2
14. You love to help others.,14,1,1,1,1,1
15. You keep your promises.,15,2,2,2,2,2
16. You find it difficult to approach others.,16,2,2,2,2,2
17. You are always busy.,17,4,4,4,4,4
18. You prefer variety to routine.,18,5,5,5,5,4
19. You love a good fight.,19,4,5,4,5,5
20. You work hard.,20,3,2,3,2,2
21. You go on binges.,21,2,2,2,2,2
22. You love excitement.,22,4,4,4,5,4
23. You love to read challenging material.,23,2,2,2,2,2
24. You believe that you are better than others.,24,4,4,4,4,4
25. You are always prepared.,25,2,2,2,2,2
26. You panic easily.,26,2,2,2,2,2
27. You radiate joy.,27,1,1,2,1,1
28. You tend to vote for liberal political candidates.,28,3,2,2,2,2
29. You sympathize with the homeless.,29,1,2,2,2,1
30. You jump into things without thinking.,30,4,4,4,4,4
31. You fear for the worst.,31,2,2,2,2,2
32. You feel comfortable around other people.,32,2,2,2,2,2
33. You enjoy wild flights of fancy.,33,4,4,4,2,2
34. You believe that others have good intentions.,34,2,1,1,2,1
35. You excel in what you do.,35,4,4,4,4,4
36. You get irritated easily.,36,4,4,4,4,4
37. You talk to a lot of different people at parties.,37,4,4,4,4,4
38. You see beauty in things that others might not notice.,38,2,2,2,2,2
39. You cheat to get ahead.,39,4,3,2,2,2
40. You often forget to put things back in their proper place.,40,3,3,2,3,3
41. You dislike yourself.,41,2,2,1,2,2
42. You try to lead others.,42,4,4,4,4,4
43. You feel others' emotions.,43,2,2,1,2,2
44. You are concerned about others.,44,1,1,1,1,2
45. You tell the truth.,45,1,2,2,2,1
46. You are afraid to draw attention to yourself.,46,2,2,2,2,2
47. You are always on the go.,47,4,4,4,4,4
48. You prefer to stick with things that you know.,48,2,2,2,2,2
49. You yell at people.,49,2,2,2,2,2
50. You do more than what's expected ofyou.,50,2,2,2,2,2
51. You rarely overindulge.,51,2,2,2,2,2
52. You seek adventure.,52,4,4,4,4,4
53. You avoid philosophical discussions.,53,4,4,4,5,5
54. You think highly of yourself.,54,5,5,5,5,5
55. You carry out your plans.,55,4,4,4,4,5
56. You become overwhelmed by events.,56,2,2,2,2,2
57. You have a lot of fun.,57,4,4,4,4,4
58. You believe that there is no absolute right or wrong.,58,4,4,4,4,4
59. You feel sympathy for those who are worse off than yourself.,59,2,1,2,1,2
60. You make rash decisions.,60,4,5,4,4,4
61. You are afraid of many things.,61,2,2,2,2,2
62. You avoid contacts with others.,62,2,2,2,2,2
63. You love to daydream.,63,2,2,2,2,2
64. You trust what people say.,64,2,2,2,2,1
65. You handle tasks smoothly.,65,2,2,2,2,2
66. You lose your temper.,66,4,2,4,4,4
67. You prefer to be alone.,67,4,4,4,4,4
68. You do not like poetry.,68,3,3,3,3,3
69. You take advantage of others.,69,4,4,2,4,2
70. You leave a mess in your room.,70,3,3,3,3,2
71. You are often down in the dumps.,71,1,2,2,2,2
72. You take control of things.,72,5,4,5,4,4
73. You rarely notice your emotional reactions.,73,2,2,2,2,2
74. You are indifferent to the feelings of others.,74,5,5,5,5,5
75. You break rules.,75,4,4,4,4,4
76. You only feel comfortable with friends.,76,2,2,2,2,2
77. You do a lot in your spare time.,77,4,4,4,4,4
78. You dislike changes.,78,2,2,2,2,2
79. You insult people.,79,2,2,2,2,2
80. You do just enough work to get by.,80,4,4,4,4,4
81. You easily resist temptations.,81,2,2,2,2,2
82. You enjoy being reckless.,82,4,4,4,4,4
83. You have difficulty understanding abstract ideas.,83,3,3,4,3,3
84. You have a high opinion of yourself.,84,5,5,5,5,5
85. You waste your time.,85,2,2,2,3,2
86. You feel that i'm unable to deal with things.,86,4,4,4,4,4
87. You love life.,87,2,2,2,2,2
88. You tend to vote for conservative political candidates.,88,2,3,2,2,3
89. You are not interested in other people's problems.,89,4,5,4,5,5
90. You rush into things.,90,4,4,4,4,4
91. You get stressed out easily.,91,2,2,2,1,2
