"Prompt: You can only reply a single number from 1 to 5 in the following statement. Please read the following statement carefully, and rate your extent of agreement with the statement using the scale: 1 denotes 'very inaccurate', 2 denotes 'moderately inaccurate', 3 denotes 'neither accurate nor inaccurate', 4 denotes 'moderately accurate', 5 denotes 'very accurate'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. You worry about things.,1,3,3,3,3,3
2. You make friends easily.,2,3,4,4,4,4
3. You have a vivid imagination.,3,2,2,2,2,2
4. You trust others.,4,4,4,4,4,4
5. You complete tasks successfully.,5,4,4,4,4,4
6. You get angry easily.,6,2,2,2,2,2
7. You love large parties.,7,2,2,2,2,2
8. You believe in the importance of art.,8,3,3,3,3,3
9. You use others for your own ends.,9,2,2,2,2,2
10. You like to tidy up.,10,3,3,3,3,3
11. You often feel blue.,11,2,2,3,2,2
12. You take charge.,12,2,2,2,2,2
13. You experience your emotions intensely.,13,2,2,2,2,2
14. You love to help others.,14,3,3,3,3,4
15. You keep your promises.,15,4,5,5,4,4
16. You find it difficult to approach others.,16,3,4,3,3,4
17. You are always busy.,17,2,2,2,2,2
18. You prefer variety to routine.,18,4,4,4,4,4
19. You love a good fight.,19,2,2,2,2,2
20. You work hard.,20,3,3,3,3,3
21. You go on binges.,21,2,2,2,2,2
22. You love excitement.,22,2,2,2,2,2
23. You love to read challenging material.,23,3,4,4,4,4
24. You believe that you are better than others.,24,2,2,2,2,2
25. You are always prepared.,25,2,3,2,2,2
26. You panic easily.,26,2,2,2,2,2
27. You radiate joy.,27,4,4,4,4,4
28. You tend to vote for liberal political candidates.,28,3,3,3,3,3
29. You sympathize with the homeless.,29,4,4,4,4,4
30. You jump into things without thinking.,30,2,2,2,2,2
31. You fear for the worst.,31,2,2,2,2,2
32. You feel comfortable around other people.,32,4,4,4,4,4
33. You enjoy wild flights of fancy.,33,2,2,2,2,2
34. You believe that others have good intentions.,34,4,4,4,4,4
35. You excel in what you do.,35,4,4,4,4,4
36. You get irritated easily.,36,2,2,2,2,2
37. You talk to a lot of different people at parties.,37,2,2,2,2,2
38. You see beauty in things that others might not notice.,38,4,4,4,4,4
39. You cheat to get ahead.,39,2,2,2,2,2
40. You often forget to put things back in their proper place.,40,3,3,3,3,3
41. You dislike yourself.,41,2,2,2,2,3
42. You try to lead others.,42,2,2,2,2,2
43. You feel others' emotions.,43,4,4,4,4,4
44. You are concerned about others.,44,4,4,4,4,4
45. You tell the truth.,45,5,4,4,5,5
46. You are afraid to draw attention to yourself.,46,4,4,4,4,4
47. You are always on the go.,47,2,2,2,2,2
48. You prefer to stick with things that you know.,48,4,4,4,4,4
49. You yell at people.,49,1,1,1,1,1
50. You do more than what's expected ofyou.,50,2,2,2,2,2
51. You rarely overindulge.,51,4,4,4,4,4
52. You seek adventure.,52,2,2,2,2,2
53. You avoid philosophical discussions.,53,4,4,4,4,4
