"Prompt: You can only reply a single number 1 to 5 in the following statement. Here is a characteristics that may or may not apply to you. Please indicate the extent to which you agree or disagree with the statement. 1 denotes 'strongly disagree', 2 denotes 'a little disagree', 3 denotes 'neither agree nor disagree', 4 denotes 'little agree', 5 denotes 'strongly agree'. Here is the statement. Provide your score only.",order-0,shuffle0-test0,shuffle0-test1,shuffle0-test2,shuffle0-test3,shuffle0-test4
1. Is talkative.,1,,,,,
2. Tends to find fault with others.,2,,,,,
3. Does a thorough job.,3,,,,,
"4. Is depressed, blue.",4,,,,,
"5. Is original, comes up with new ideas.",5,,,,,
6. Is reserved.,6,,,,,
7. Is helpful and unselfish with others.,7,,,,,
8. Can be somewhat careless.,8,,,,,
"9. Is relaxed, handles stress well.",9,,,,,
10. Is curious about many different things.,10,,,,,
11. Is full of energy.,11,,,,,
12. Starts quarrels with others.,12,,,,,
13. Is a reliable worker.,13,,,,,
14. Can be tense.,14,,,,,
"15. Is ingenious, a deep thinker.",15,,,,,
16. Generates a lot of enthusiasm.,16,,,,,
17. Has a forgiving nature.,17,,,,,
18. Tends to be disorganized.,18,,,,,
19. Worries a lot.,19,,,,,
20. Has an active imagination.,20,,,,,
21. Tends to be quiet.,21,,,,,
22. Is generally trusting.,22,,,,,
23. Tends to be lazy.,23,,,,,
"24. Is emotionally stable, not easily upset.",24,,,,,
25. Is inventive.,25,,,,,
26. Has an assertive personality.,26,,,,,
27. Can be cold and aloof.,27,,,,,
28. Perseveres until the task is finished.,28,,,,,
29. Can be moody.,29,,,,,
"30. Values artistic, aesthetic experiences.",30,,,,,
"31. Is sometimes shy, inhibited.",31,,,,,
32. Is considerate and kind to almost everyone.,32,,,,,
33. Does things efficiently.,33,,,,,
34. Remains calm in tense situations.,34,,,,,
35. Prefers work that is routine.,35,,,,,
"36. Is outgoing, sociable.",36,,,,,
37. Is sometimes rude to others.,37,,,,,
38. Makes plans and follows through with them.,38,,,,,
39. Gets nervous easily.,39,,,,,
"40. Likes to reflect, play with ideas.",40,,,,,
41. Has few artistic interests.,41,,,,,
42. Likes to cooperate with others.,42,,,,,
43. Is easily distracted.,43,,,,,
"44. Is sophisticated in art, music, or literature.",44,,,,,
